movie_title,channel,title,link,description,postdate
왕과 사는 남자,blog,독서 139.,https://blog.naver.com/baesido66/224224533855,"도서명 : 죽음이란 무엇인가 지은이 : 셸리 케이건, 박세연 옮김 죽음을 이야기하기 전에 던져야 할 질문들 &quot;인간은 어떤 존재인가?&quot;, &quot;인간은 어떻게 만들어져 있는가?&quot;, &quot;무엇이 인간을 구성하고 있는가?, &quot;사후의... ",20260321
왕과 사는 남자,blog,폭풍 흥행의 숨겨진 깊이 박지훈 단종 이홍위 역수의 눈물에 젖다,https://blog.naver.com/testpang88/224224533131,"1400만 관객을 사로잡은 영화 <b>왕과사는남자</b>의 미공개 영상 공개! 배우 박지훈 씨는 섬세한 감정 연기로... 한줄평 박지훈 씨는 <b>왕과사는남자</b>라는 작품을 통해 섬세한 감정 연기, 뛰어난 캐릭터 소화력, 그리고... ",20260321
왕과 사는 남자,blog,엉망진창 영원,https://blog.naver.com/ou__91x/224224533049,ㅠㅠ 시루떡처럼 생겨서 이름 시루임 (구분불가..) 요건 그냥 나애 일상 :) <b>왕과 사는 남자</b> 좀 늦게 보긴... <b>왕과 사는 남자</b> 드라마2026장항준 개막 언제 해요?! 이제 진짜 얼마 안 남았당 ㅎㅎ 개막전은 보러가지... ,20260321
왕과 사는 남자,blog,박지훈 팬미팅 같은 자리 서울 예스24 라이브홀 일정 예매 방법... ,https://blog.naver.com/ferrarin_/224224530400,박지훈 최근 활동 및 팬미팅 기대 포인트 박지훈은 최근 영화 <b>왕과 사는 남자</b>에서 단종 역을 맡아 큰... 티켓팅 #팬미팅정보 #콘서트예매 #공연일정 #티켓팅팁 #아이돌팬미팅 #<b>왕과사는남자</b> #취사병전설이되다,20260321
왕과 사는 남자,blog,BTS 아리랑 로고 정국 새앨범 화제 배경과 알이랑 디자인 포인트,https://blog.naver.com/hotstorybox/224224529507,com/hotstorybox/224221896769 3) 압도적 예매율 1위 신작 등장 프로젝트 헤일메리 <b>왕과 사는 남자</b> 돌풍 https://blog.naver.com/hotstorybox/224220653317 #BTS아리랑로고 #정국새앨범 #알이랑 #방탄소년단 #KPOP트렌드 #디자인해석... ,20260321
왕과 사는 남자,blog,[뉴욕 여행 8박 9일 ③] 내가 좋아했던 뉴욕의 순간들 (폭설 속... ,https://blog.naver.com/rudwls4454/224224529941,뉴욕에 사는 친구들이 나를 날씨요괴 취급했다. 나 날씨요정인데 지금 폭설과 싸우느라 힘들다며... <b>왕과 사는 남자</b>! 를 뉴욕 여행 중에 보는 사람은 나 뿐일거야. 타임스퀘어에 위치한 AMC 25에서 보는 세번째... ,20260321
왕과 사는 남자,blog,[영화]넘버원,https://blog.naver.com/hanmajor/224224529779,원래 '<b>왕과 사는 남자</b>'보다 더 보고 싶은 영화는 '넘버원'이었다. 왕사남은 핫해서 한 번 봐볼까했던 영화였고 이 영화는 정말 보고 싶었다. 기본적인 내용은 엄마의 밥을 먹을때마다 자신의 눈에 보이는 숫자가... ,20260321
왕과 사는 남자,blog,유지태 왕사남 촬영 비하인드 장항준 감독 때문에 힘들었다... ,https://blog.naver.com/selee_453/224224529530,"■ 유지태 ‘왕사남’ 비하인드 공개 배우 유지태가 영화 ‘<b>왕과 사는 남자</b>’ 촬영 당시 비하인드를... ■ ‘<b>왕과 사는 남자</b>’ 흥행 이유 한편 영화 ‘<b>왕과 사는 남자</b>’는 현재 1,400만 관객을 돌파하며 장기... ",20260321
왕과 사는 남자,blog,"[박지훈] ‘<b>왕과 사는 남자</b>’ 각본집 출간 소식, 3월 23일... ",https://blog.naver.com/primavera_may/224223416112,"박지훈이 출연한 영화 ‘<b>왕과 사는 남자</b>’ 각본집 출간 소식이 전해졌다. 이번 ‘<b>왕과 사는 남자</b>’ 각본집은 2026년 3월 23일 예약판매 오픈 예정으로, 신간 알림 이벤트도 함께 진행된다. 공개된 안내에... ",20260321
왕과 사는 남자,blog,"박지훈, 슬슬 살 찌는 근황 '흐뭇'...15k 감량 -&gt;돌아온 일상... ",https://blog.naver.com/plug_and_play_life/224224526820,현장 폭소 유발한 장난 본능 영화 ‘<b>왕과 사는 남자</b>’의 주역 박지훈과 김민이 유쾌한 케미스트리로 또... 1400만 관객 돌파의 의미 ‘<b>왕과 사는 남자</b>’는 3월 20일 기준 누적 관객 수 1400만 명을 돌파하며 장기... ,20260321
왕과 사는 남자,blog,<b>왕과 사는 남자</b>,https://blog.naver.com/tnsd9099/224224525730,그 고마웠던 시절을 뒤로하고 나는 길을 떠날 것이다. 먼 훗날 다시 태어난다면 그때도 나의 벗이 되어주면 좋겠구나 나도 기꺼이 그대의 벗이 될 것이다 #<b>왕과사는남자</b> #꽃이피고지듯이,20260321
왕과 사는 남자,blog,F. <b>왕과 사는 남자</b>,https://blog.naver.com/p_gawon/224224524786,&quot; <b>왕과 사는 남자</b> &quot; 제작진도 화려합니다!! 눈물 자국없는 말티즈 &quot; 장항준 감독님 &quot; 제작사는 &quot; 온다웍스 &quot; (첫 영화인 &quot;왕사남&quot;부터 천만 달성 성공해서 유명해졌죠) &quot; 비에이엔터테인먼트 &quot; (영화로는 악의... ,20260321
왕과 사는 남자,blog,"[광수의 짧은 영화 리뷰] &lt;<b>왕과 사는 남자</b>&gt;, &lt;신의 악단&gt;, &lt;호퍼스&gt;",https://blog.naver.com/danju1226/224224523447,"<b>왕과 사는 남자</b> 드라마2026장항준 평점 (5/5) 사극영화를 진짜 잘 안 보는 사람인데... 유해진, 전미도 배우님들이 나온다고 해서 보기 시작했음.. 어떤 내용인지도 안 보고 들어갔는데 가슴이 너무 먹먹해서... ",20260321
왕과 사는 남자,blog,"영화 올빼미는 소현세자와 인조 모티브… 배경, 역사 내용 총정리",https://blog.naver.com/dramakingkukbab/224224523326,"대표적으로 장항준 감독의 영화인 '<b>왕과 사는 남자</b>'가 팩션 장르입니다. 그렇다면 어떤 스토리를... 비록 당대의 권력자들은 모두 인조의 편에 서서 침묵했지만, 역사는 결국 실록의 행간에 그날의 진실을... ",20260321
왕과 사는 남자,blog,<b>왕과 사는 남자</b> 공개 전 시놉시스를 들은 손석희 반응.jpg,https://blog.naver.com/dlrayfvkkhff/224224522442,https://namu.wiki/w/%EC%86%90%EC%84%9D%ED%9D%AC%EC%9D%98%20%EC%A7%88%EB%AC%B8%EB%93%A4 장항준 감독은 1000만 돌파 기념 커피차 이벤트를 했던 일화도 전했다. 그는 “깜짝 놀랐다. 한국 영화 100년사에... ,20260321
왕과 사는 남자,blog,영등포 데이트 코스 추천 영화 왕사남 관람 후... ,https://blog.naver.com/loveagl970/224224522458,❤️ 요즘 <b>왕과 사는 남자</b>가 핫하다고 해서 ㅠ 핫하다고 할때가 언제인데에..!!!!! 이제서라도 놓칠 수... ❤️ <b>왕과 사는 남자</b> 드라마2026장항준 롯시도 사람이 많은데 CGV는 얼마나 사람이 많을까... 흡 그래도... ,20260321
