movie,Cafe/Blog Ratio,Engagement Rate,First Day Audi,Comment/View Ratio,Top 3 Maintain Days
1987,0.0,0.6837236841601746,331736,0.08848204784497711,22
강철비,0.0,1.1244818300867343,236952,0.05348848433206796,20
곤지암,0.0,0.2217067274498885,198365,0.013320930568600533,15
공조2: 인터내셔날,0.0,0.617543087560296,216237,0.04496595820015915,31
교섭,0.0,1.0230852042650198,104795,0.04199702804815029,21
국제시장,0.0,0.6104783874050946,184756,0.033073761601007154,31
극한직업,0.0,0.7445281023854871,368582,0.026999899959654062,31
꾼,0.0,1.5890693648778307,213172,0.04378525564208642,23
나쁜 녀석들: 더 무비,0.0,0.2638189116213501,244335,0.023271085534900503,21
남한산성,0.0,0.31440706393090995,444585,0.08026462399014889,16
내부자들,0.0,0.9438211430341605,230949,0.13863615585859862,28
노량: 죽음의 바다,0.0,1.04979796631658,216769,0.13730842989673678,21
독전,0.0,0.8183212680618539,0,0.11726446486494575,0
드림,0.0,0.7671927694104703,0,0.04414392416718644,0
마녀,0.0,0.5397431509356277,0,0.10793602627729842,0
마스터,0.0,0.8085535522305654,0,0.20214836473116046,0
명량,0.0,0.32504277451819197,682701,0.03234474522292993,31
모가디슈,0.0,0.3204170347985577,126670,0.06590452054081235,31
밀수,0.0,1.0312367594867655,318084,0.06310252464601725,20
박열,0.0,0.705758467180767,201987,0.145996564993522,22
백두산,0.0,0.5745468987611702,450171,0.11849125923548728,27
범죄도시2,0.0,0.45371486954713625,467483,0.04606577122126057,31
베테랑2,0.0,0.48561049955366337,497498,0.0694104327745048,31
보이스,0.0,1.3287065920353036,0,0.016850604059877015,0
서울의 봄,0.0,1.302820247890862,203813,0.12741678232967632,31
슬립,0.0,0.7490974360031464,0,0.058998961550069826,0
시민덕희,0.0,0.0,61242,0.0,20
신과함께-죄와 벌,0.0,0.26942334448449934,406365,0.08907727372851754,28
싱크홀,0.0,0.30979763891297035,147297,0.03189841996493107,21
안시성,0.0,0.5370559899769969,122859,0.3340455178820251,22
엑시트,0.0,0.335596472070515,489996,0.02134474678597904,30
영웅,0.0,1.1719798594156434,105398,0.13527139764487042,27
올빼미,0.0,0.281417812422791,101581,0.04868317560195874,31
완벽한 타인,0.0,0.2802367930625532,274118,0.018410432810170203,24
왕과 사는 남자,0.0,1.1554236826514406,117783,0.04419380097953533,31
외계+인 2부,0.0,0.4176554237043707,94495,0.07650626878401583,26
인질,0.0,0.7019690075973893,97352,0.049833387978070694,28
인천상륙작전,0.0,0.5040759017331418,464460,0.05424495943017365,21
청년경찰,0.0,0.8607113328807477,308298,0.024923153609703416,28
콘크리트 유토피아,0.0,0.3750569398901952,230978,0.04721065130330137,27
탈주,0.0,1.4173661098742723,112667,0.114097315693873,28
파묘,0.0,1.0223976446323284,330118,0.07872384096568864,31
파일럿,0.0,1.5466552359869397,373859,0.043132900919718845,31
하얼빈,0.0,0.9969889542736257,381521,0.15436953648515492,31
한산: 용의 출현,0.0,0.6633567112441223,386161,0.10133358623499879,31
핸섬가이즈,0.0,0.4565065351208225,66952,0.034174429325001865,14
헌트,0.0,0.7576487805484754,210790,0.07487202475611755,30
히말라야,0.0,0.2533139848359066,203173,0.05772635766086978,29
