rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,aud_per_show
7,7,0,OLD,20148846,사도,2015-09-16,20820200,1.2,2312900,12.5,48760017601,2984,387,14.9,6234631,109,195,20151027,15.3
1,1,4,OLD,20129370,명량,2014-07-30,4708879000,61.6,4649246000,7796.4,4881110000,682701,674628,8356.6,705201,1159,6147,20140730,111.06
1,1,0,OLD,20129370,명량,2014-07-30,5243409900,59.5,534530900,11.4,10124519900,705070,22369,3.3,1410271,1202,6258,20140731,112.67
1,1,0,OLD,20129370,명량,2014-07-30,6918410307,64.0,1675000407,31.9,17042930207,867437,162367,23.0,2277708,1300,6699,20140801,129.49
1,1,0,OLD,20129370,명량,2014-07-30,9826541209,65.1,2908130902,42.0,26869471416,1232529,365092,42.1,3510237,1494,7605,20140802,162.07
1,1,0,OLD,20129370,명량,2014-07-30,10031212500,67.5,204671291,2.1,36900683916,1257380,24851,2.0,4767617,1587,7963,20140803,157.9
1,1,0,OLD,20129370,명량,2014-07-30,7455501400,73.1,-2575711100,-25.7,44356185316,990022,-267358,-21.3,5757639,1443,7551,20140804,131.11
1,1,0,OLD,20129370,명량,2014-07-30,6511760400,73.1,-943741000,-12.7,50867945716,869153,-120869,-12.2,6626792,1507,7779,20140805,111.73
1,1,0,OLD,20129370,명량,2014-07-30,5273445400,60.9,-1238315000,-19.0,56141391116,702887,-166266,-19.1,7329679,1221,6788,20140806,103.55
1,1,0,OLD,20129370,명량,2014-07-30,4892511700,59.5,-380933700,-7.2,61033902816,652776,-50111,-7.1,7982455,1239,6776,20140807,96.34
1,1,0,OLD,20129370,명량,2014-07-30,5493530692,59.1,601018992,12.3,66527433508,690123,37347,5.7,8672578,1278,7026,20140808,98.22
1,1,0,OLD,20129370,명량,2014-07-30,8758739983,59.0,3265209291,59.4,75286173491,1101089,410966,59.5,9773667,1343,7453,20140809,147.74
1,1,0,OLD,20129370,명량,2014-07-30,8225301600,58.4,-533438383,-6.1,83511475091,1032388,-68701,-6.2,10806055,1315,7267,20140810,142.07
1,1,0,OLD,20129370,명량,2014-07-30,3924891200,57.6,-4300410400,-52.3,87436366291,526106,-506282,-49.0,11332161,1204,6607,20140811,79.63
1,1,0,OLD,20129370,명량,2014-07-30,3287901500,52.7,-636989700,-16.2,90724267791,443817,-82289,-15.6,11775978,1224,6545,20140812,67.81
1,1,0,OLD,20129370,명량,2014-07-30,2739598400,41.6,-548303100,-16.7,93463866191,368597,-75220,-16.9,12144575,935,5098,20140813,72.3
1,1,0,OLD,20129370,명량,2014-07-30,3209749900,42.4,470151500,17.2,96673616091,430129,61532,16.7,12574704,949,5200,20140814,82.72
1,1,0,OLD,20129370,명량,2014-07-30,5906928307,42.5,2697178407,84.0,102580544398,744256,314127,73.0,13318960,1013,5520,20140815,134.83
1,1,0,OLD,20129370,명량,2014-07-30,5479483612,42.7,-427444695,-7.2,108060028010,682703,-61553,-8.3,14001663,1004,5507,20140816,123.97
1,1,0,OLD,20129370,명량,2014-07-30,5061573600,43.0,-417910012,-7.6,113121601610,635573,-47130,-6.9,14637236,1002,5295,20140817,120.03
1,1,0,OLD,20129370,명량,2014-07-30,1970129700,40.1,-3091443900,-61.1,115091731310,264378,-371195,-58.4,14901614,906,4753,20140818,55.62
1,1,0,OLD,20129370,명량,2014-07-30,1706119200,37.4,-264010500,-13.4,116797850510,231697,-32681,-12.4,15133311,931,4694,20140819,49.36
1,1,0,OLD,20129370,명량,2014-07-30,1283393400,32.1,-422725800,-24.8,118081243910,173159,-58538,-25.3,15306470,732,3597,20140820,48.14
1,1,0,OLD,20129370,명량,2014-07-30,1218788300,31.4,-64605100,-5.0,119300032210,165149,-8010,-4.6,15471619,716,3463,20140821,47.69
2,2,-1,OLD,20129370,명량,2014-07-30,1314220500,29.4,95432200,7.8,120614252710,166182,1033,0.6,15637801,723,3598,20140822,46.19
2,2,0,OLD,20129370,명량,2014-07-30,2652884500,30.4,1338664000,101.9,123267137210,332537,166355,100.1,15970338,772,3839,20140823,86.62
2,2,0,OLD,20129370,명량,2014-07-30,2434184900,29.7,-218699600,-8.2,125701322110,305504,-27033,-8.1,16275842,757,3669,20140824,83.27
2,2,0,OLD,20129370,명량,2014-07-30,781387500,27.1,-1652797400,-67.9,126482709610,105306,-200198,-65.5,16381148,694,3309,20140825,31.82
2,2,0,OLD,20129370,명량,2014-07-30,654846000,23.6,-126541500,-16.2,127137555610,89715,-15591,-14.8,16470863,702,3274,20140826,27.4
2,2,0,OLD,20129370,명량,2014-07-30,556729000,19.9,-98117000,-15.0,127694284610,85270,-4445,-5.0,16556133,658,3011,20140827,28.32
3,3,-1,OLD,20129370,명량,2014-07-30,434041700,14.0,-122687300,-22.0,128128326310,59758,-25512,-29.9,16615891,482,2148,20140828,27.82
3,3,0,OLD,20129370,명량,2014-07-30,511350600,13.2,77308900,17.8,128639676910,66327,6569,11.0,16682218,482,2183,20140829,30.38
3,3,0,OLD,20129370,명량,2014-07-30,1092613100,13.6,581262500,113.7,129732290010,137811,71484,107.8,16820029,488,2181,20140830,63.19
3,3,0,OLD,20129370,명량,2014-07-30,1019603400,14.2,-73009700,-6.7,130751893410,129731,-8080,-5.9,16949760,495,2130,20140831,60.91
4,4,-1,OLD,20129370,명량,2014-07-30,273418400,13.3,-746185000,-73.2,131025311810,36965,-92766,-71.5,16986725,446,2019,20140901,18.31
4,4,0,OLD,20129370,명량,2014-07-30,234135700,12.2,-39282700,-14.4,131259447510,31924,-5041,-13.6,17018649,440,1970,20140902,16.21
8,8,-4,OLD,20129370,명량,2014-07-30,116426900,2.5,-117708800,-50.3,131375874410,16146,-15778,-49.4,17034795,253,591,20140903,27.32
8,8,0,OLD,20129370,명량,2014-07-30,95108700,2.6,-21318200,-18.3,131470983110,13135,-3011,-18.6,17047930,231,509,20140904,25.81
8,8,0,OLD,20129370,명량,2014-07-30,136853900,2.5,41745200,43.9,131607837010,17635,4500,34.3,17065565,233,505,20140905,34.92
8,8,0,OLD,20129370,명량,2014-07-30,335541800,3.3,198687900,145.2,131943378810,44249,26614,150.9,17109814,290,590,20140906,75.0
7,7,1,OLD,20129370,명량,2014-07-30,417974800,4.5,82433000,24.6,132361353610,54182,9933,22.4,17163996,333,656,20140907,82.59
7,7,0,OLD,20129370,명량,2014-07-30,636966300,5.4,218991500,52.4,132998319910,81812,27630,51.0,17245808,394,795,20140908,102.91
7,7,0,OLD,20129370,명량,2014-07-30,780384300,5.5,143418000,22.5,133778704210,103651,21839,26.7,17349459,459,931,20140909,111.33
7,7,0,OLD,20129370,명량,2014-07-30,605102700,5.5,-175281600,-22.5,134383806910,83192,-20459,-19.7,17432651,448,930,20140910,89.45
8,8,-1,OLD,20129370,명량,2014-07-30,111185700,3.8,-493917000,-81.6,134494992610,15515,-67677,-81.4,17448166,216,495,20140911,31.34
9,9,-1,OLD,20129370,명량,2014-07-30,102426900,2.9,-8758800,-7.9,134597419510,13334,-2181,-14.1,17461500,240,528,20140912,25.25
8,8,1,OLD,20129370,명량,2014-07-30,228217700,3.2,125790800,122.8,134825637210,28869,15535,116.5,17490369,277,632,20140913,45.68
8,8,0,OLD,20129370,명량,2014-07-30,228501000,3.7,283300,0.1,135054138210,29038,169,0.6,17519407,279,607,20140914,47.84
8,8,0,OLD,20129370,명량,2014-07-30,56847100,3.2,-171653900,-75.1,135110985310,7888,-21150,-72.8,17527295,246,563,20140915,14.01
7,7,1,OLD,20129370,명량,2014-07-30,75447800,4.3,18600700,32.7,135186433110,10203,2315,29.3,17537498,259,578,20140916,17.65
8,8,-1,OLD,20129370,명량,2014-07-30,57908100,3.4,-17539700,-23.2,135244341210,8347,-1856,-18.2,17545845,256,570,20140917,14.64
10,10,-2,OLD,20129370,명량,2014-07-30,32181700,1.5,-25726400,-44.4,135276522910,4548,-3799,-45.5,17550393,170,332,20140918,13.7
10,10,1,OLD,20129370,명량,2014-07-30,70751500,1.3,35313000,99.6,135382712910,8851,4177,89.4,17563918,172,333,20140920,26.58
10,10,0,OLD,20129370,명량,2014-07-30,75052600,1.5,4301100,6.1,135457765510,9503,652,7.4,17573421,170,328,20140921,28.97
10,10,0,OLD,20129370,명량,2014-07-30,23118900,1.5,-51933700,-69.2,135480884410,3175,-6328,-66.6,17576596,159,312,20140922,10.18
10,10,0,OLD,20129370,명량,2014-07-30,21410300,1.4,-1708600,-7.4,135502294710,3020,-155,-4.9,17579616,159,306,20140923,9.87
10,10,0,OLD,20129370,명량,2014-07-30,26831000,1.4,5420700,25.3,135529125710,3992,972,32.2,17583608,164,318,20140924,12.55
